01459|LJSpeech|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.|ɹᵻlˈæps wʌz ɹˈæpɪd ænd ɪnˈɛvᵻɾəbəl, sˌoʊ ðætðə lˈæɾɚ stˈeɪt ʌvðə pɹˈɪzən wʌz wˈɜːs ðɐn ðə fˈɜːst.
00230|LJSpeech|ðə vˈɛɹiəs wˈɔːɹdz wɜːɹ ˈɔːl ɐbˌaʊt ᵻlˈɛvən fˈiːt ɪn hˈaɪt,|ðə vˈɛɹiəs wˈɔːɹdz wɜːɹ ˈɔːl ɐbˌaʊt ᵻlˈɛvən fˈiːt ɪn hˈaɪt,
00108|LJSpeech|ðɪs ɪz bˈɛst fˈɜːðɚd baɪ ðɪ ɐvˈɔɪdəns ʌv ɪɹˈæʃənəl swˈɛlɪŋz ænd spˈaɪki pɹədʒˈɛkʃənz, ænd baɪ ðə jˈuːzɪŋ ʌv kˈɛɹfəl pjˈʊɹɹᵻɾi ʌv lˈaɪn.|ðɪs ɪz bˈɛst fˈɜːðɚd baɪ ðɪ ɐvˈɔɪdəns ʌv ɪɹˈæʃənəl swˈɛlɪŋz ænd spˈaɪki pɹədʒˈɛkʃənz, ænd baɪ ðə jˈuːzɪŋ ʌv kˈɛɹfəl pjˈʊɹɹᵻɾi ʌv lˈaɪn.
00546|LJSpeech|hiː kəlˈɛktᵻd ðə ɡˈɑːɹnɪʃ mˈʌni, ænd dˈɪstɹɪbjˌuːɾᵻd ðə wˈiːkli ɡɹˈænt fɹʌmðə pɹˈɪzən tʃˈæɹɪɾəbəl fˈʌnd.|hiː kəlˈɛktᵻd ðə ɡˈɑːɹnɪʃ mˈʌni, ænd dˈɪstɹɪbjˌuːɾᵻd ðə wˈiːkli ɡɹˈænt fɹʌmðə pɹˈɪzən tʃˈæɹɪɾəbəl fˈʌnd.
01363|LJSpeech|ðɪs kəmˈɪɾi ˈænɪmˌædvɜːɾᵻd stɹˈɔŋli əpˌɑːn ðə sˈɪstəm ɪn fˈoːɹs æt ðə mˌɛtɹəpˈɑːlɪtən dʒˈeɪlz, ænd mˈoːɹ ɪspˈɛʃəli əpˌɑːn ðə kəndˈɪʃən ʌv nˈuːɡeɪt|ðɪs kəmˈɪɾi ˈænɪmˌædvɜːɾᵻd stɹˈɔŋli əpˌɑːn ðə sˈɪstəm ɪn fˈoːɹs æt ðə mˌɛtɹəpˈɑːlɪtən dʒˈeɪlz, ænd mˈoːɹ ɪspˈɛʃəli əpˌɑːn ðə kəndˈɪʃən ʌv nˈuːɡeɪt
01003|LJSpeech|ðə dˈɛɾɚz wɜː kɹˈaʊdᵻd ˈɔːlmoʊst ɪŋkənsˈiːvəbli. ɪn ɐ spˈeɪs twˈɛnti fˈiːt lˈɔŋ baɪ sˈɪks wˈaɪd,|ðə dˈɛɾɚz wɜː kɹˈaʊdᵻd ˈɔːlmoʊst ɪŋkənsˈiːvəbli. ɪn ɐ spˈeɪs twˈɛnti fˈiːt lˈɔŋ baɪ sˈɪks wˈaɪd,
01792|LJSpeech|stˈɪɡmɐtˌaɪzd hɪz ˈɔfən mˈoʊst dʒˈʌst stɹˈɪktʃɚz ˌɔn ɐbjˈuːsᵻz æz "ɐ bˈʌndəl ʌv nˈɑːnsəns," ænd ðɪ ˈɔːldɚmˌɛn, wˌɛn hiː ɐpˈiːld tə ðˌɛm fɔːɹ pɹətˈɛkʃən ænd kˈaʊntənəns,|stˈɪɡmɐtˌaɪzd hɪz ˈɔfən mˈoʊst dʒˈʌst stɹˈɪktʃɚz ˌɔn ɐbjˈuːsᵻz æz "ɐ bˈʌndəl ʌv nˈɑːnsəns," ænd ðɪ ˈɔːldɚmˌɛn, wˌɛn hiː ɐpˈiːld tə ðˌɛm fɔːɹ pɹətˈɛkʃən ænd kˈaʊntənəns,
01703|LJSpeech|ðˈʌs, wˌɛn ðɪ ɪnspˈɛktɚz vˈɪzɪɾᵻd ðɛɹwˌɜː twˈɛntiθɹˈiː stɹˈeɪndʒɚz, ænd ˈoʊnli twˈɛntiˈeɪt pɹˈɪzənɚz.|ðˈʌs, wˌɛn ðɪ ɪnspˈɛktɚz vˈɪzɪɾᵻd ðɛɹwˌɜː twˈɛntiθɹˈiː stɹˈeɪndʒɚz, ænd ˈoʊnli twˈɛntiˈeɪt pɹˈɪzənɚz.
00213|LJSpeech|ɪn ˈɔːɹdɚ tə ɹˈiːəlaɪz ðɪ ˈiːvəlz ɛntˈeɪld baɪ ɪŋkˌɑːɹsɚɹˈeɪʃən ɪn nˈuːɡeɪt ɪn ðiːz dˈeɪz, ɪɾ ɪz nˈɛsᵻsɚɹi tə ɡˈɪv sˌʌm ɐkˈaʊnt ʌv ɪts ɪntˈɪɹiɚ|ɪn ˈɔːɹdɚ tə ɹˈiːəlaɪz ðɪ ˈiːvəlz ɛntˈeɪld baɪ ɪŋkˌɑːɹsɚɹˈeɪʃən ɪn nˈuːɡeɪt ɪn ðiːz dˈeɪz, ɪɾ ɪz nˈɛsᵻsɚɹi tə ɡˈɪv sˌʌm ɐkˈaʊnt ʌv ɪts ɪntˈɪɹiɚ
01175|LJSpeech|ɪɾ ɪz ˈɪntɹɛstɪŋ tʊ əbzˈɜːv ðætðə plˈæn ʌv "ɹˌeɪdɪˈeɪʃən," baɪ wˌɪtʃ ðə pɹˈɪzən blˈɑːks ɹˈeɪdɪˌeɪɾᵻd fɹʌm ɐ sˈɛntɹəl hˈɔːl, lˈaɪk spˈoʊks ɪn ɐ wˈiːl|ɪɾ ɪz ˈɪntɹɛstɪŋ tʊ əbzˈɜːv ðætðə plˈæn ʌv "ɹˌeɪdɪˈeɪʃən," baɪ wˌɪtʃ ðə pɹˈɪzən blˈɑːks ɹˈeɪdɪˌeɪɾᵻd fɹʌm ɐ sˈɛntɹəl hˈɔːl, lˈaɪk spˈoʊks ɪn ɐ wˈiːl
00002|LJSpeech|fɔːɹ ɔːlðˈoʊ ðə tʃaɪnˈiːz tˈʊk ɪmpɹˈɛʃənz fɹʌm wˈʊd blˈɑːks ɛŋɡɹˈeɪvd ɪn ɹᵻlˈiːf fɔːɹ sˈɛntʃɚɹiz bᵻfˌoːɹ ðə wˈʊdkʌɾɚz ʌvðə nˈɛðɜːləndz, baɪ ɐ sˈɪmɪlɚ pɹˈɑːsɛs|fɔːɹ ɔːlðˈoʊ ðə tʃaɪnˈiːz tˈʊk ɪmpɹˈɛʃənz fɹʌm wˈʊd blˈɑːks ɛŋɡɹˈeɪvd ɪn ɹᵻlˈiːf fɔːɹ sˈɛntʃɚɹiz bᵻfˌoːɹ ðə wˈʊdkʌɾɚz ʌvðə nˈɛðɜːləndz, baɪ ɐ sˈɪmɪlɚ pɹˈɑːsɛs
01869|LJSpeech|ænd hiː kæn ˈɔːlmoʊst ɪnvˈɛɹɪəbli pɹəkjˈʊɹ ðə lˈʌkʃɚɹiz ʌv hɪz klˈæs ʌv lˈaɪf, bˈɪɹ ænd təbˈækoʊ, ɪn ɐbˈʌndəns.|ænd hiː kæn ˈɔːlmoʊst ɪnvˈɛɹɪəbli pɹəkjˈʊɹ ðə lˈʌkʃɚɹiz ʌv hɪz klˈæs ʌv lˈaɪf, bˈɪɹ ænd təbˈækoʊ, ɪn ɐbˈʌndəns.
00818|LJSpeech|ɪɾ ɐdmˈɪɾᵻd ðə pˈæɹəmˌaʊnt nəsˈɛsɪɾi|ɪɾ ɐdmˈɪɾᵻd ðə pˈæɹəmˌaʊnt nəsˈɛsɪɾi
01732|LJSpeech|hæd pɹəvˈaɪdᵻd wˈɜːk fɔːɹ ðoʊz hˌuː hæd hˈɪðɚtˌuː pˈæst ðɛɹ tˈaɪm ɪn tˈoʊɾəl ˈaɪdəlnəs, ænd hæd mˌeɪd ðə tɹˈiːtmənt ʌv fˈiːmeɪl tɹˈænspoːɹts ɔnðə wˈeɪ tə nˈuː sˈaʊθ wˈeɪlz|hæd pɹəvˈaɪdᵻd wˈɜːk fɔːɹ ðoʊz hˌuː hæd hˈɪðɚtˌuː pˈæst ðɛɹ tˈaɪm ɪn tˈoʊɾəl ˈaɪdəlnəs, ænd hæd mˌeɪd ðə tɹˈiːtmənt ʌv fˈiːmeɪl tɹˈænspoːɹts ɔnðə wˈeɪ tə nˈuː sˈaʊθ wˈeɪlz
01970|LJSpeech|ˈaɪ pɹəpˈoʊz tə ɹᵻtˈɜːn nˈaʊ tə ðə sˈʌbdʒɛkt ʌv nˈuːɡeɪt ˌɛksɪkjˈuːʃənz,|ˈaɪ pɹəpˈoʊz tə ɹᵻtˈɜːn nˈaʊ tə ðə sˈʌbdʒɛkt ʌv nˈuːɡeɪt ˌɛksɪkjˈuːʃənz,
01419|LJSpeech|ðə kɹˈɑːnɪkəlz ʌv nˈuːɡeɪt, vˈɑːljuːm tˈuː. baɪ ˈɑːɹθɚ ɡɹˈɪfɪθs. sˈɛkʃən nˈaɪn: ðə fˈɜːst ɹᵻpˈoːɹt ʌvðɪ ɪnspˈɛktɚɹ ʌv pɹˈɪzənz.|ðə kɹˈɑːnɪkəlz ʌv nˈuːɡeɪt, vˈɑːljuːm tˈuː. baɪ ˈɑːɹθɚ ɡɹˈɪfɪθs. sˈɛkʃən nˈaɪn: ðə fˈɜːst ɹᵻpˈoːɹt ʌvðɪ ɪnspˈɛktɚɹ ʌv pɹˈɪzənz.
00303|LJSpeech|ɪn ðæt pˈiəɹɪəd ˈʌpwɚdz ʌv tˈuː hˈʌndɹɪd θˈaʊzənd ɹˈɪts|ɪn ðæt pˈiəɹɪəd ˈʌpwɚdz ʌv tˈuː hˈʌndɹɪd θˈaʊzənd ɹˈɪts
00063|LJSpeech|mˈɛnɪəv hˌuːz tˈaɪps, ˌɪndˈiːd, lˈaɪk ðæt ʌvðə sˌʌbɪˈɑːkoʊ wˈɜːks, ɑːɹ əvə tɹænsˈɪʃənəl kˈæɹɪktɚ.|mˈɛnɪəv hˌuːz tˈaɪps, ˌɪndˈiːd, lˈaɪk ðæt ʌvðə sˌʌbɪˈɑːkoʊ wˈɜːks, ɑːɹ əvə tɹænsˈɪʃənəl kˈæɹɪktɚ.
01562|LJSpeech|hiː kʊd ɪndˈʌldʒ ɪn snˈʌf ɪf ɐ snˈʌftˈeɪkɚ,|hiː kʊd ɪndˈʌldʒ ɪn snˈʌf ɪf ɐ snˈʌftˈeɪkɚ,
00963|LJSpeech|ðɪs ˈækt sˈɛt fˈɔːɹθ ðˈæt "wˈɛɹæz ðə məlˈɪɡnənt fˈiːvɚ kˈɑːmənli kˈɔːld ðə dʒˈeɪl dɪstˈɛmpɚ|ðɪs ˈækt sˈɛt fˈɔːɹθ ðˈæt "wˈɛɹæz ðə məlˈɪɡnənt fˈiːvɚ kˈɑːmənli kˈɔːld ðə dʒˈeɪl dɪstˈɛmpɚ
01112|LJSpeech|ðə bˈʌlk ʌvðə pɹˈɪzənɚz wɜː stˈɪl lˈɛft ɪn ˈaɪdəlnəs.|ðə bˈʌlk ʌvðə pɹˈɪzənɚz wɜː stˈɪl lˈɛft ɪn ˈaɪdəlnəs.
01999|LJSpeech|wˈɛn, ɪn pɚsˈuːəns əvən ˈɔːɹdɚɹ ˈɪʃuːd baɪ ðə ɹᵻkˈoːɹdɚ tə ðə ʃˈɛɹɪfs ʌv mˈɪdəlsˌɛks ænd ðə kˈiːpɚɹ ʌv hɪz mˈædʒᵻstiz dʒˈeɪl, nˈuːɡeɪt,|wˈɛn, ɪn pɚsˈuːəns əvən ˈɔːɹdɚɹ ˈɪʃuːd baɪ ðə ɹᵻkˈoːɹdɚ tə ðə ʃˈɛɹɪfs ʌv mˈɪdəlsˌɛks ænd ðə kˈiːpɚɹ ʌv hɪz mˈædʒᵻstiz dʒˈeɪl, nˈuːɡeɪt,
01181|LJSpeech|ɛkspˈiəɹɪəns hɐz sˈɪns ʃˈoʊn ðæt ɪn sˌʌm ɹᵻspˈɛkts ðiːz plˈænz ɑːɹ dᵻfˈɛktɪv, ɪspˈɛʃəli ɪnðə plˈeɪsɪŋ ʌvðə ɡˈʌvɚnɚz ɹˈɛzᵻdəns ɪnðə sˈɛntɚɹ ʌvðə pɹˈɪzən.|ɛkspˈiəɹɪəns hɐz sˈɪns ʃˈoʊn ðæt ɪn sˌʌm ɹᵻspˈɛkts ðiːz plˈænz ɑːɹ dᵻfˈɛktɪv, ɪspˈɛʃəli ɪnðə plˈeɪsɪŋ ʌvðə ɡˈʌvɚnɚz ɹˈɛzᵻdəns ɪnðə sˈɛntɚɹ ʌvðə pɹˈɪzən.
00430|LJSpeech|ænd kˈeɪm ˌʌndɚ ðə stɹˈɔŋ ˌænɪmɐdvˈɜːʒən ʌvðə dʒˈeɪl kəmˈɪɾi ʌv sˈɛvəntˌiːn twˈɛntinˈaɪn.|ænd kˈeɪm ˌʌndɚ ðə stɹˈɔŋ ˌænɪmɐdvˈɜːʒən ʌvðə dʒˈeɪl kəmˈɪɾi ʌv sˈɛvəntˌiːn twˈɛntinˈaɪn.
00306|LJSpeech|ðə nˈʌmbɚɹ ʌv ɚɹˈɛsts ˈæktʃuːəli mˌeɪd wʌz wˈʌn hˈʌndɹɪd fˈoːɹtiːn θˈaʊzənd, θɹˈiː hˈʌndɹɪd fɚðə kˈɪŋdəm, ænd sˈɛvən θˈaʊzənd twˈɛnti fɔːɹ mˈɪdəlsˌɛks.|ðə nˈʌmbɚɹ ʌv ɚɹˈɛsts ˈæktʃuːəli mˌeɪd wʌz wˈʌn hˈʌndɹɪd fˈoːɹtiːn θˈaʊzənd, θɹˈiː hˈʌndɹɪd fɚðə kˈɪŋdəm, ænd sˈɛvən θˈaʊzənd twˈɛnti fɔːɹ mˈɪdəlsˌɛks.
01008|LJSpeech|"ɪnðə mˈɔːɹnɪŋ ðə stˈɛntʃ ænd hˈiːt wɜː sˌoʊ əpɹˈɛsɪv ðæt hiː ænd ˈɛvɹi wˈʌn ˈɛls ˌɔn wˈeɪkɪŋ ɹˈʌʃt ʌŋklˈoʊðd ˌɪntʊ ðə jˈɑːɹd;"|"ɪnðə mˈɔːɹnɪŋ ðə stˈɛntʃ ænd hˈiːt wɜː sˌoʊ əpɹˈɛsɪv ðæt hiː ænd ˈɛvɹi wˈʌn ˈɛls ˌɔn wˈeɪkɪŋ ɹˈʌʃt ʌŋklˈoʊðd ˌɪntʊ ðə jˈɑːɹd;"
00242|LJSpeech|ðiːz wˈɔːɹdz wɜːɹ ˈɔːl fˈɪɾᵻd wɪð bˈɛɹəkbˈɛdz, bˌʌt nˈoʊ bˈɛdɪŋ wʌz səplˈaɪd.|ðiːz wˈɔːɹdz wɜːɹ ˈɔːl fˈɪɾᵻd wɪð bˈɛɹəkbˈɛdz, bˌʌt nˈoʊ bˈɛdɪŋ wʌz səplˈaɪd.
00893|LJSpeech|mˈɛʒɚz ɹᵻmˈiːdɪəl, ɔːlðˈoʊ æt bˈɛst pˈɑːɹʃəl ænd ɪŋkəmplˈiːt, wɜːɹ ˌɪntɹədˈuːst fɹʌm tˈaɪm tə tˈaɪm.|mˈɛʒɚz ɹᵻmˈiːdɪəl, ɔːlðˈoʊ æt bˈɛst pˈɑːɹʃəl ænd ɪŋkəmplˈiːt, wɜːɹ ˌɪntɹədˈuːst fɹʌm tˈaɪm tə tˈaɪm.
00364|LJSpeech|bᵻfˌoːɹ dˈiːlɪŋ wɪððə dˈɛɾɚz ɪn nˈuːɡeɪt, ˈaɪ mˈeɪ ɹᵻfˈɜːɹ ˌɪnsɪdˈɛntəli|bᵻfˌoːɹ dˈiːlɪŋ wɪððə dˈɛɾɚz ɪn nˈuːɡeɪt, ˈaɪ mˈeɪ ɹᵻfˈɜːɹ ˌɪnsɪdˈɛntəli
00392|LJSpeech|ˌɪntʊ hˈoʊlz mˈɑːɹkt wɪð nˈʌmbɚz.|ˌɪntʊ hˈoʊlz mˈɑːɹkt wɪð nˈʌmbɚz.
00492|LJSpeech|nˈɔːɹ wʌz nˈɑːnpˈeɪmənt mˌeɪd ɐ pɹˈiːtɛkst fɔːɹ fˈɜːðɚɹ ɪmpɹˈɪzənmənt, θˈæŋks tə ðə hjuːmˈænᵻɾi ʌvðə dʒˈeɪlɚ, ɔːɹ ðə fˈʌndz pɹəvˈaɪdᵻd baɪ vˈɛɹiəs tʃˈæɹᵻɾiz.|nˈɔːɹ wʌz nˈɑːnpˈeɪmənt mˌeɪd ɐ pɹˈiːtɛkst fɔːɹ fˈɜːðɚɹ ɪmpɹˈɪzənmənt, θˈæŋks tə ðə hjuːmˈænᵻɾi ʌvðə dʒˈeɪlɚ, ɔːɹ ðə fˈʌndz pɹəvˈaɪdᵻd baɪ vˈɛɹiəs tʃˈæɹᵻɾiz.
01538|LJSpeech|fɚɹə pətˈɪʃən ʌv fɹʌm wˈʌn ʃˈɪlɪŋ, hˈæf pˈɛns tʊ ˈeɪt ʃˈɪlɪŋz, ɐkˈoːɹdɪŋ tʊ ɪts lˈɛŋθ,|fɚɹə pətˈɪʃən ʌv fɹʌm wˈʌn ʃˈɪlɪŋ, hˈæf pˈɛns tʊ ˈeɪt ʃˈɪlɪŋz, ɐkˈoːɹdɪŋ tʊ ɪts lˈɛŋθ,
00198|LJSpeech|tˈɪl, ˈeɪtiːn ˈoʊ ˈeɪt, ðə lˈoʊɪst pˈɔɪnt wʌz tˈʌtʃt ʌv wˈʌn hˈʌndɹɪd nˈaɪntisˈɛvən dˈɛɾɚz ænd wˈʌn hˈʌndɹɪd ˈeɪɾitˈuː fˈɛlənz, ɔːɹ θɹˈiː hˈʌndɹɪd sˈɛvəntinˈaɪn ɪn ˈɔːl.|tˈɪl, ˈeɪtiːn ˈoʊ ˈeɪt, ðə lˈoʊɪst pˈɔɪnt wʌz tˈʌtʃt ʌv wˈʌn hˈʌndɹɪd nˈaɪntisˈɛvən dˈɛɾɚz ænd wˈʌn hˈʌndɹɪd ˈeɪɾitˈuː fˈɛlənz, ɔːɹ θɹˈiː hˈʌndɹɪd sˈɛvəntinˈaɪn ɪn ˈɔːl.
00813|LJSpeech|ðɪs kəmˈɪɾi wʌz tə kəmpˈɛɹ ɐlˈaʊənsᵻz, ɛɡzˈæmɪn ɹˈuːlz, ænd sˈɜːɾᵻfˌaɪ æz tə ðə kəndˈɪʃən ʌv pɹˈɪzənɚz;|ðɪs kəmˈɪɾi wʌz tə kəmpˈɛɹ ɐlˈaʊənsᵻz, ɛɡzˈæmɪn ɹˈuːlz, ænd sˈɜːɾᵻfˌaɪ æz tə ðə kəndˈɪʃən ʌv pɹˈɪzənɚz;
01190|LJSpeech|dˈɪfɚd lˈɪɾəl fɹʌm ðæt kˈɛpt ɪn vjˈuː ɪnðə kənstɹˈʌkʃən ʌvðə lˈeɪɾɪst ænd bˈɛst mˈɑːdɚn dʒˈeɪlz.|dˈɪfɚd lˈɪɾəl fɹʌm ðæt kˈɛpt ɪn vjˈuː ɪnðə kənstɹˈʌkʃən ʌvðə lˈeɪɾɪst ænd bˈɛst mˈɑːdɚn dʒˈeɪlz.
00240|LJSpeech|ðɪs ɚɹˈeɪndʒmənt wʌz, haʊˈɛvɚ, mˈɑːdᵻfˌaɪd ˈæftɚɹ ˈeɪtiːn ᵻlˈɛvən, ænd ðə tʃˈæpəl jˈɑːɹd wʌz ɐlˈɑːɾᵻd tə mˌɪsdᵻmˈiːnənts ænd pɹˈɪzənɚz ɐwˈeɪɾɪŋ tɹˈaɪəl.|ðɪs ɚɹˈeɪndʒmənt wʌz, haʊˈɛvɚ, mˈɑːdᵻfˌaɪd ˈæftɚɹ ˈeɪtiːn ᵻlˈɛvən, ænd ðə tʃˈæpəl jˈɑːɹd wʌz ɐlˈɑːɾᵻd tə mˌɪsdᵻmˈiːnənts ænd pɹˈɪzənɚz ɐwˈeɪɾɪŋ tɹˈaɪəl.
01088|LJSpeech|ðə dˈaɪət wʌz nˈaʊ ˈæmpəl. ɪt kənsˈɪstᵻd əvə pˈaʊnd ænd ɐ hˈæf ʌv bɹˈɛd pɜː dˈiːm;|ðə dˈaɪət wʌz nˈaʊ ˈæmpəl. ɪt kənsˈɪstᵻd əvə pˈaʊnd ænd ɐ hˈæf ʌv bɹˈɛd pɜː dˈiːm;
00912|LJSpeech|ðɪ ɐsˌoʊsɪˈeɪʃən wʌz ˈɔːɹɡənˌaɪzd ˌʌndɚ ðə mˈoʊst pɹˈɑːmɪsɪŋ ˈɔːspɪsᵻz.|ðɪ ɐsˌoʊsɪˈeɪʃən wʌz ˈɔːɹɡənˌaɪzd ˌʌndɚ ðə mˈoʊst pɹˈɑːmɪsɪŋ ˈɔːspɪsᵻz.
00151|LJSpeech|ðə mˈɑːdɚn pɹˈɪntɚ, ɪnðə tˈiːθ ʌvðɪ ˈɛvɪdəns ɡˈɪvən baɪ hɪz ˈoʊn ˈaɪz, kənsˈɪdɚz ðə sˈɪŋɡəl pˈeɪdʒ æz ðə jˈuːnɪt, ænd pɹˈɪnts ðə pˈeɪdʒ ɪnðə mˈɪdəl ʌv hɪz pˈeɪpɚ|ðə mˈɑːdɚn pɹˈɪntɚ, ɪnðə tˈiːθ ʌvðɪ ˈɛvɪdəns ɡˈɪvən baɪ hɪz ˈoʊn ˈaɪz, kənsˈɪdɚz ðə sˈɪŋɡəl pˈeɪdʒ æz ðə jˈuːnɪt, ænd pɹˈɪnts ðə pˈeɪdʒ ɪnðə mˈɪdəl ʌv hɪz pˈeɪpɚ
